Method,GUID,Leaky,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
/dev/random,Y,N,Y,N,256,buffer,269864.2317037758,2.5083326738978055e-7,0.0000037055670315645188,6.145415051049624e-8,1.658427711252327,64,3.135415842372257e-8,6.291732802943314e-14
/dev/random,Y,N,Y,Y,256,buffer,566257.9179632656,1.366413289540679e-7,0.0000017659797210374235,2.8549388632454092e-8,1.6166317366137575,88,1.4566014608394944e-8,1.8670852778333795e-14
/dev/random,Y,N,N,N,4096,hex,403572.502176728,2.127482662210826e-7,0.000002477869514415259,4.914234229866541e-8,1.983249804429766,72,2.507262362176807e-8,4.526182478007664e-14
/dev/random,Y,N,Y,N,4096,hex,418884.66977597016,1.6238433587491307e-7,0.000002387291949678714,3.804093517331044e-8,1.5934764568041229,70,1.9408640394546143e-8,2.636867253753658e-14
/dev/random,Y,N,Y,Y,4096,hex,505192.013720974,1.6549441393266975e-7,0.0000019794453848043543,3.5391565017144636e-8,1.7879535999748075,84,1.805692092711461e-8,2.7388401042917834e-14
/dev/random,Y,N,N,N,4096,buffer,476947.42042914446,9.149180474514132e-8,0.0000020966671737111545,2.0569866338173764e-8,0.9810744688564268,76,1.049482976437437e-8,8.370750335523062e-15
/dev/random,Y,N,Y,N,4096,buffer,470936.04240338475,1.1954421605398823e-7,0.0000021234305934550674,2.742352068773691e-8,1.2914724301450167,73,1.3991592187620873e-8,1.4290819591962617e-14
/dev/random,Y,N,Y,Y,4096,buffer,634133.1642868919,7.2060707931399e-8,0.0000015769558451095045,1.505612666102535e-8,0.9547589241460241,88,7.681697276033342e-9,5.192745627574391e-15
/dev/random,Y,N,N,N,65536,hex,434931.1914536126,1.4121472036973007e-7,0.0000022992142657274894,3.195989987304854e-8,1.3900357330523163,75,1.6306071363800274e-8,1.9941597249101054e-14
/dev/random,Y,N,Y,N,65536,hex,456504.2788125393,1.8701729605471754e-7,0.0000021905599715323674,4.290188899649455e-8,1.9584895896040362,73,2.1888718875762526e-8,3.4975469023617866e-14
/dev/random,Y,N,Y,Y,65536,hex,579671.8646204659,6.936807654462869e-8,0.0000017251139153609595,2.3667847039566995e-8,1.3719585024977774,33,1.2075432163044385e-8,4.811930043501465e-15
/dev/random,Y,N,N,N,65536,buffer,512600.99518926983,1.0372994110232844e-7,0.0000019508350732537415,2.379571575819901e-8,1.2197707578893804,73,1.2140671305203577e-8,1.0759900681092525e-14
/dev/random,Y,N,Y,N,65536,buffer,555445.6715227637,1.0939980150791032e-7,0.0000018003560946986645,2.9453348124762352e-8,1.6359734727752355,53,1.50272184310012e-8,1.1968316569970177e-14
/dev/random,Y,N,Y,Y,65536,buffer,632152.699366741,8.452289390731524e-8,0.0000015818962744313993,1.7864102576443392e-8,1.1292840665463042,86,9.114338049205811e-9,7.144119594467269e-15
/dev/urandom,Y,Y,Y,N,,hex,42690.74583578437,0.000002106450993724651,0.00002342428037792155,4.865653554206153e-7,2.0771837920759575,72,2.4824763031664045e-7,4.437135788963571e-12
/dev/urandom,Y,Y,Y,Y,,hex,240259.08145194454,2.4084424635629094e-7,0.000004162173575112145,4.948478080753551e-8,1.1889167982669295,91,2.524733714670179e-8,5.800595100292977e-14
/dev/urandom,Y,Y,Y,N,,buffer,44806.957775395196,0.0000016102522835698767,0.00002231796242478058,3.644343990378529e-7,1.6329196729590596,75,1.8593591787645556e-7,2.5929124167420026e-12
/dev/urandom,Y,Y,Y,Y,,buffer,288069.008956777,7.803885579706023e-8,0.0000034713904269724617,1.5776223044951565e-8,0.4544640937640264,94,8.049093390281412e-9,6.090063014114362e-15
/dev/urandom,Y,Y,N,N,256,hex,260988.5146834904,2.998018443812434e-7,0.00000383158623364225,6.925069294357568e-8,1.8073635492146283,72,3.533198619570188e-8,8.988114589439528e-14
/dev/urandom,Y,Y,Y,N,256,hex,254373.0155033431,4.3903919379615467e-7,0.0000039312346005775815,1.0003304840579438e-7,2.5445708172973807,74,5.103726959479305e-8,1.9275541368917748e-13
/dev/urandom,Y,Y,Y,Y,256,hex,482134.7861845843,1.1131507395116546e-7,0.000002074108794168509,2.2871221207830804e-8,1.1027011346817834,91,1.1668990412158574e-8,1.2391045688753435e-14
/dev/urandom,Y,Y,N,N,256,buffer,284212.9516935146,1.983870159018175e-7,0.000003518488492665054,4.4027296147708904e-8,1.2513127793224852,78,2.2462906197810665e-8,3.935740807842799e-14
/dev/urandom,Y,Y,Y,N,256,buffer,285989.77660466573,2.6446699748669385e-7,0.0000034966284874663092,6.025758140765166e-8,1.723305224551176,74,3.074366398349575e-8,6.994279275962694e-14
/dev/urandom,Y,Y,Y,Y,256,buffer,548636.9468745515,5.212348251276017e-8,0.0000018226989736960878,1.076882305559154e-8,0.590817420265202,90,5.494297477342622e-9,2.716857429258015e-15
/dev/urandom,Y,Y,N,N,4096,hex,403408.18973260204,2.1062492930744887e-7,0.000002478878777009577,4.73542592739335e-8,1.9103096009825797,76,2.4160336364251786e-8,4.436286084576783e-14
/dev/urandom,Y,Y,Y,N,4096,hex,468630.0422638873,8.671790992034305e-8,0.000002133879414066451,2.3570196408037458e-8,1.1045702138866718,52,1.202561041226401e-8,7.519995900952731e-15
/dev/urandom,Y,Y,Y,Y,4096,hex,519457.8970651578,6.495975974735046e-8,0.000001925083833838733,1.3346880903488279e-8,0.6933142686505136,91,6.809633114024632e-9,4.219770386433493e-15
/dev/urandom,Y,Y,N,N,4096,buffer,522862.99742170144,9.054285825428967e-8,0.00000191254689073642,2.4376555419817465e-8,1.2745598833621983,53,1.2437018071335442e-8,8.198009180856392e-15
/dev/urandom,Y,Y,Y,N,4096,buffer,464222.09322934126,1.4188518742894349e-7,0.0000021541413357635404,3.169186279095291e-8,1.4712062883153232,77,1.6169317750486176e-8,2.0131406411746424e-14
/dev/urandom,Y,Y,Y,Y,4096,buffer,620018.5327083074,2.469798234222756e-7,0.0000016128550152071953,5.1603149773431105e-8,3.1994909205649775,88,2.6328137639505666e-8,6.099903317769845e-14
/dev/urandom,Y,Y,N,N,65536,hex,452933.4260533188,1.7383153291513266e-7,0.0000022078299866574238,3.9341779470301275e-8,1.7819206962517677,75,2.0072336464439425e-8,3.0217401835624855e-14
/dev/urandom,Y,Y,Y,N,65536,hex,458316.2414742301,1.402516947636407e-7,0.0000021818995477519585,3.239648865049021e-8,1.4847836915255226,72,1.6528820740046026e-8,1.9670537884073442e-14
/dev/urandom,Y,Y,Y,Y,65536,hex,618625.4280511368,6.729940797141911e-8,0.000001616487060918773,2.22963253472e-8,1.379307381187901,35,1.137567619755102e-8,4.52921031330351e-15
/dev/urandom,Y,Y,N,N,65536,buffer,527979.493237705,1.3409849946088415e-7,0.0000018940129546845557,3.034934746657321e-8,1.602383309549635,75,1.5484360952333268e-8,1.7982407557660748e-14
/dev/urandom,Y,Y,Y,N,65536,buffer,529827.670160456,1.6590416982139393e-7,0.000001887406144147123,3.8590837049334066e-8,2.0446493283390472,71,1.968920257619085e-8,2.7524193564125917e-14
/dev/urandom,Y,Y,Y,Y,65536,buffer,679038.0341427263,5.8794896312110324e-8,0.0000014726715584679767,1.2080224463002048e-8,0.8202931871359783,91,6.163379828062269e-9,3.4568398323518042e-15
hyperid cold start,Y,Y,N,Y,,other,101062.93161410911,7.206164006064156e-7,0.000009894824779260538,1.5142604767636707e-7,1.530356030091151,87,7.72581875899832e-8,5.19287996822946e-13
hyperid normal,Y,Y,N,Y,,other,8617328.356312212,9.670350117678005e-9,1.1604524727985999e-7,2.080459296035957e-9,1.792800088588399,83,1.0614588245081413e-9,9.351567139847499e-17
cuid,Y,Y,N,Y,,other,436592.0834689785,1.132520167689038e-7,0.0000022904675505208826,2.3398109076358184e-8,1.0215429190881637,90,1.1937810753243972e-8,1.2826019302224068e-14
shortid,N,Y,N,Y,,other,22375.839213441035,0.000006556516029289594,0.000044691061213887606,0.0000014105554149284097,3.1562361166086697,83,7.196711300655152e-7,4.298790244233139e-11
nanoid,Y,N,N,Y,,other,229452.22895671986,3.537604919572031e-7,0.000004358205647192138,7.433712732050964e-8,1.7056819557930414,87,3.792710577577023e-8,1.2514648566980235e-13
